initial_state,final_state,sum_A_if,lifetime,branching_ratio
"['A2PI', 0, 1, 0.5, 0.5]","['X2SIGMA+', 1, 0, 0.5, 0.5]",3698.4900000000007,0.00027038061479144185,0.39899307834408054
"['A2PI', 0, 1, 0.5, 0.5]","['X2SIGMA+', 2, 0, 0.5, 0.5]",2528.5299999999997,0.00039548670571438744,0.2727778007741964
"['A2PI', 0, 1, 0.5, 0.5]","['X2SIGMA+', 0, 0, 0.5, 0.5]",2114.46,0.00047293398787397255,0.22810793173306523
"['A2PI', 0, 1, 0.5, 0.5]","['X2SIGMA+', 3, 0, 0.5, 0.5]",815.9060000000001,0.0012256313840074713,0.08801993423786608
"['A2PI', 0, 1, 0.5, 0.5]","['X2SIGMA+', 4, 0, 0.5, 0.5]",112.1733,0.00891477740246565,0.012101254910791712
"['A2PI', 0, 1, 0.5, 1.5]","['X2SIGMA+', 1, 0, 0.5, 0.5]",3384.9300000000003,0.000295427084164222,0.40377111651797865
"['A2PI', 0, 1, 0.5, 1.5]","['X2SIGMA+', 2, 0, 0.5, 0.5]",2251.6099999999997,0.0004441266471547027,0.2685831268779696
"['A2PI', 0, 1, 0.5, 1.5]","['X2SIGMA+', 0, 0, 0.5, 0.5]",1969.74,0.0005076812168103405,0.23496028545645647
"['A2PI', 0, 1, 0.5, 1.5]","['X2SIGMA+', 3, 0, 0.5, 0.5]",692.152,0.0014447693570198452,0.08256329845525667
"['A2PI', 0, 1, 0.5, 1.5]","['X2SIGMA+', 4, 0, 0.5, 0.5]",84.8571,0.011784517736288419,0.01012217269233862
"['A2PI', 1, 1, 0.5, 0.5]","['X2SIGMA+', 0, 0, 0.5, 0.5]",7718.200000000001,0.0001295638879531497,0.50445058921119
"['A2PI', 1, 1, 0.5, 0.5]","['X2SIGMA+', 1, 0, 0.5, 0.5]",6181.0,0.00016178611875101117,0.40398138062169486
"['A2PI', 1, 1, 0.5, 0.5]","['X2SIGMA+', 2, 0, 0.5, 0.5]",775.453,0.0012895688068780442,0.05068250664087286
