initial_state,final_state,sum_A_if,lifetime,branching_ratio
[1],[0],194.93,0.0051300466834248186,1.0
[2],[1],333.8,0.0029958058717795086,0.9365986150237376
[2],[0],22.596,0.044255620463798905,0.06340138497626235
[3],[2],420.2,0.002379819133745835,0.8622766483909984
[3],[1],65.89,0.015176809834572773,0.1352103959126199
[3],[0],1.2246000000000001,0.8165931732810713,0.002512955696381763
[4],[3],458.1,0.0021829294913774284,0.7741196311398535
[4],[2],129.20000000000002,0.007739938080495355,0.21832843558888687
[4],[1],4.468999999999999,0.22376370552696356,0.00755193327125956
[5],[4],451.4,0.0022153300841825435,0.6691293314043119
[5],[3],213.01,0.004694615276278109,0.3157537414320613
[5],[2],10.198,0.09805844283192783,0.015116927163626878
[6],[5],438.7,0.0022794620469569183,0.5892535043256473
[6],[4],280.3,0.0035676061362825543,0.37649363406081365
[6],[3],23.8,0.04201680672268907,0.03196770777969092
[6],[2],1.7013,0.5877858108505261,0.002285153833848242
[7],[6],384.9,0.002598077422707197,0.4806287508147838
[7],[5],372.7,0.002683123155352831,0.4653944801991944
[7],[4],39.5,0.02531645569620253,0.04932407289473619
[7],[3],3.726,0.2683843263553409,0.004652696091285748
[8],[6],470.1,0.0021272069772388853,0.5530015716019988
[8],[7],312.70000000000005,0.0031979533098816753,0.3678442702402575
[8],[5],60.31,0.0165809981760902,0.07094559622062657
[8],[4],6.978,0.14330753797649756,0.008208561937117097
[9],[7],567.1,0.0017633574325515782,0.6314510502397198
[9],[8],230.59,0.004336701504835422,0.2567559472311356
[9],[6],87.17,0.011471836641046231,0.09706152010121033
[9],[5],11.707,0.08541898009737763,0.013035438979291837
[9],[4],1.5232,0.6565126050420168,0.0016960434486424638
[10],[8],656.6,0.0015229972586049345,0.6930554074893471
[10],[9],148.32,0.00674217907227616,0.15655494675421866
[10],[7],121.41,0.008236553825879253,0.1281508635749035
[10],[6],18.174,0.05502366017387477,0.019183047480522988
[10],[5],2.895,0.3454231433506045,0.0030557347010077064
[11],[9],731.4,0.0013672409078479629,0.7292007305965209
[11],[8],163.76999999999998,0.006106124442816145,0.16327755489443835
[11],[10],75.95,0.013166556945358789,0.07572162358327285
[11],[7],26.92,0.03714710252600297,0.026839053414900664
[11],[6],4.976,0.20096463022508038,0.004961037510867225
[12],[10],780.3,0.0012815583749839806,0.7307533858567986
[12],[9],213.18,0.004690871563936579,0.19964373548244566
[12],[8],39.44,0.025354969574036514,0.03693568311955932
[12],[11],25.575,0.039100684261974585,0.023951067337290306
[12],[7],7.764,0.1287995878413189,0.007271010236821972
[12],[6],1.5431,0.648046140885231,0.0014451179670839753
[13],[11],757.5,0.0013201320132013201,0.6800180619978975
[13],[10],279.70000000000005,0.0035752592062924557,0.251090497611633
[13],[9],55.7,0.017953321364452424,0.05000264825515894
[13],[8],11.547,0.08660258075690655,0.010365899091603596
[13],[12],6.711,0.14900908955446282,0.006024556058175433
[13],[7],2.783,0.35932446999640677,0.0024983369855315495
[14],[12],621.4,0.00160926939169617,0.5611782756998245
[14],[11],395.8,0.0025265285497726125,0.3574418434534769
[14],[10],66.4,0.01506024096385542,0.05996497828527254
[14],[9],19.659,0.05086728724757109,0.017753787772743564
[14],[8],4.054,0.24666995559940796,0.0036611147886821513
[15],[12],505.8,0.0019770660340055358,0.800479971462525
[15],[11],87.9,0.011376564277588168,0.13911069492201653
[15],[10],30.380000000000003,0.03291639236339697,0.04807944154415087
[15],[9],5.7509999999999994,0.17388280299078424,0.009101542736024083
[15],[8],2.0399000000000003,0.4902201088288641,0.003228349335283521
[16],[12],167.16,0.0059822924144532184,0.7930084699528731
[16],[11],25.43,0.039323633503735744,0.12064013753829601
[16],[10],15.23,0.06565988181221273,0.07225125028345453
[16],[9],1.9529,0.5120589891955553,0.00926457430588039
[16],[8],1.0193,0.9810654370646521,0.004835567919496074
[17],[12],41.78,0.023934897079942556,0.6421715172800702
[17],[11],16.758,0.05967299200381908,0.2575756411340214
[17],[10],4.838,0.20669698222405952,0.07436155578269459
[17],[9],1.31,0.7633587786259541,0.020135105017637434
[17],[8],0.3745,2.67022696929239,0.005756180785576503
[18],[12],12.441,0.0803793907242183,0.4599031101959792
[18],[11],12.397,0.08066467693796886,0.4582765739972312
[18],[9],1.0541,0.948676596148373,0.038966631979550005
[18],[10],1.0521,0.95047999239616,0.038892698515970554
[18],[8],0.10715,9.332711152589829,0.0039609853112691235
[19],[11],6.390000000000001,0.15649452269170577,0.5308988974085653
[19],[12],4.823,0.2073398299813394,0.40070819752762293
[19],[9],0.6003000000000001,1.6658337497917706,0.04987458655936804
[19],[10],0.22289,4.486518013369824,0.01851831850444368
