initial_state,final_state,sum_A_if,lifetime,branching_ratio
[0],[10],6156700.0,1.6242467555671056e-07,0.1786626733115279
[0],[9],6095600.0,1.6405275936741255e-07,0.17688959855730335
[0],[11],5041100.0,1.9836940350320367e-07,0.14628882395288764
[0],[8],5001800.0,1.9992802591067215e-07,0.14514836834174155
[0],[7],3441100.0,2.906047484815902e-07,0.09985806115813645
[0],[12],3222200.0,3.1034696791012354e-07,0.09350575242327955
[0],[6],1991480.0,5.021391126197602e-07,0.05779120968155693
[0],[13],1507240.0,6.634643454260768e-07,0.04373893932172549
[0],[5],965260.0,1.0359903031307626e-06,0.02801109880953846
[0],[14],457990.0,2.183453787200594e-06,0.01329051565773006
[0],[4],386290.0,2.588728675347537e-06,0.011209837099990273
[0],[3],124070.0,8.059966148142177e-06,0.0036004154624654874
[0],[15],69082.0,1.4475550794707738e-05,0.002004706222116876
[1],[6],5527200.0,1.8092343320306847e-07,0.15164701714910137
[1],[7],5359300.0,1.8659153247625622e-07,0.14704042897075897
[1],[13],4301900.0,2.3245542667193566e-07,0.11802907495182356
[1],[5],4162800.0,2.4022292687614107e-07,0.11421265794403662
[1],[12],3837900.0,2.605591599572683e-07,0.10529853942620787
[1],[8],3368400.0,2.9687685548034674e-07,0.09241710315621528
[1],[14],2692800.0,3.7136066547831256e-07,0.0738810044469352
[1],[4],2378700.0,4.203976962206247e-07,0.06526320011806475
[1],[11],1604220.0,6.233558988168705e-07,0.04401418038987759
[1],[3],1029730.0,9.711283540345526e-07,0.028252186092224664
[1],[9],882980.0,1.1325284830913498e-06,0.024225879867258927
[1],[15],853610.0,1.1714951792973373e-06,0.023420069892286226
[1],[2],325300.0,3.0740854595757764e-06,0.008925093117419793
[1],[16],83098.0,1.2033983970733351e-05,0.0022799181920422685
[1],[10],39861.0,2.5087177943353153e-05,0.0010936462857469116
[2],[5],5774500.0,1.7317516668109793e-07,0.15835270102936022
[2],[4],5422400.0,1.8442018294482148e-07,0.14869714885472385
[2],[14],4179500.0,2.392630697451848e-07,0.11461340617407759
[2],[6],3643500.0,2.7446136956223413e-07,0.099914809282271
[2],[3],3414200.0,2.9289438228574777e-07,0.09362677147016048
[2],[15],3327000.0,3.0057108506161706e-07,0.09123550719970239
[2],[10],3133500.0,3.1913196106590074e-07,0.08592920403073863
[2],[9],2031050.0,4.923561704537062e-07,0.05569698734534281
[2],[13],1778320.0,5.623284898106078e-07,0.04876643437432364
[2],[11],1478990.0,6.761370935570896e-07,0.04055798100188994
[2],[16],906670.0,1.1029371215547002e-06,0.024863389634131098
[2],[7],780940.0,1.2805081056163085e-06,0.02141552659829744
[2],[1],392833.554,2.5456073948306363e-06,0.010772578462353976
[2],[8],151040.0,6.620762711864407e-06,0.004141932974885196
[2],[0],51622.149099999995,1.937152980715404e-05,0.0014156215677418574
[3],[4],5624700.0,1.7778725976496524e-07,0.17122352042724573
[3],[15],4137700.0,2.4168016047562655e-07,0.1259572173576928
[3],[2],3714276.773,2.6923141734327613e-07,0.11306763825878889
[3],[16],3568000.0,2.8026905829596414e-07,0.1086147742785238
[3],[8],3087700.0,3.2386566052401464e-07,0.0939937888284187
[3],[12],2467200.0,4.053177691309987e-07,0.07510492463564292
[3],[5],2423400.0,4.126433935792688e-07,0.07377159304556462
[3],[9],1857850.0,5.382565869149824e-07,0.05655548161248751
[3],[1],1338502.9771,7.471033065362317e-07,0.04074585166167281
[3],[11],1316370.0,7.596648358744123e-07,0.04007209372674338
[3],[7],1230180.0,8.128891706904681e-07,0.03744835286489753
[3],[14],750340.0,1.33272916277954e-06,0.02284137044062431
[3],[13],535470.0,1.8675182549909426e-06,0.01630043530911467
[3],[17],527310.0,1.896417667026986e-06,0.01605203380740145
[3],[0],223590.19940225998,4.472467946597718e-06,0.00680638986518122
[3],[6],47453.0,2.1073483236044085e-05,0.0014445338799996608
[4],[2],6100038.7924999995,1.6393338370724798e-07,0.16385425838257917
[4],[3],5952225.448000001,1.680043890703113e-07,0.15988381708442312
[4],[16],4717600.0,2.1197218924877057e-07,0.12672031697504252
[4],[17],3142100.0,3.182584895452086e-07,0.08440052314042756
[4],[7],3122400.0,3.202664616961312e-07,0.08387135783510105
[4],[1],3110500.76589,3.2149164242815173e-07,0.08355173032997569
[4],[10],2238900.0,4.466479074545536e-07,0.060139502644442656
[4],[6],1991430.0,5.021517201207173e-07,0.05349216568458727
[4],[13],1935580.0,5.166410068299941e-07,0.05199196861339511
[4],[11],1324580.0,7.54956288030923e-07,0.03557978579336989
[4],[14],1104780.0,9.051575879360596e-07,0.029675697767442655
[4],[8],837670.0,1.1937875296954647e-06,0.02250080717324145
[4],[0],679330.2246149,1.472038139576201e-06,0.018247613488622805
[4],[15],492530.0,2.0303331776744566e-06,0.013229938468653063
[4],[9],297390.0,3.3625878476075186e-06,0.007988247215789362
[4],[19],120711.0,8.284249157077649e-06,0.0032424402625009234
[4],[12],60676.0,1.6480980947986022e-05,0.001629829140405647
[5],[2],6788002.32598,1.4731874739828226e-07,0.1806871687341222
[5],[17],5850800.0,1.7091679770287824e-07,0.15574014799368482
[5],[1],5341300.9758,1.8722030541449197e-07,0.14217799351369134
[5],[6],3134400.0,3.1904032669729456e-07,0.08343336293693268
[5],[3],2989755.073,3.344755592291958e-07,0.07958311641722328
[5],[9],2404700.0,4.1585228926685244e-07,0.06400976513988069
[5],[12],1968890.0,5.079003905754004e-07,0.05240910986246088
[5],[0],1580760.033059,6.326070871521561e-07,0.04207763066437253
[5],[18],1448550.0,6.903455179317248e-07,0.03855838370415194
[5],[15],1199560.0,8.336390009670213e-07,0.031930616655381244
[5],[14],1188380.0,8.414816809438059e-07,0.03163302062499747
[5],[16],795000.0,1.2578616352201258e-06,0.021161792858238094
[5],[8],716910.0,1.3948752284108187e-06,0.019083145808804367
[5],[10],602450.0,1.6598887874512408e-06,0.01603638000936546
[5],[11],540130.0,1.8514061429655824e-06,0.014377508398138544
[5],[7],500490.0,1.998041918919459e-06,0.013322346802037213
[5],[19],324900.0,3.0778701138811943e-06,0.008648385534140324
[5],[13],192727.0,5.1886865877640395e-06,0.005130124342376923
[6],[1],7105400.0779209,1.407380286871346e-07,0.18354372240475095
[6],[18],5883000.0,1.6998130205677376e-07,0.1519671949595701
[6],[2],5022202.38449,1.9911583075351295e-07,0.1297314310539197
[6],[5],3418506.876,2.9252537329107306e-07,0.08830543955392196
[6],[0],2985800.00378935,3.349186143515561e-07,0.077127936645613
[6],[8],2455200.0,4.072987943955686e-07,0.06342169931408065
[6],[17],2174850.0,4.5980182541324686e-07,0.05617981539313633
[6],[11],1785890.0,5.599449014217001e-07,0.04613236338710634
[6],[4],1626311.0805,6.14888511792317e-07,0.042010187495368445
[6],[13],1476920.0,6.770847439265498e-07,0.038151179598791135
[6],[16],851190.0,1.1748258320703955e-06,0.021987584000958092
[6],[10],845750.0,1.182382500738989e-06,0.021847060196677953
[6],[7],769030.0,1.3003393885804194e-06,0.01986526125102128
[6],[15],752280.0,1.3292922847875792e-06,0.01943258225806313
[6],[14],626610.0,1.5958889899618582e-06,0.01618632738970189
[6],[9],397610.0,2.515027288046075e-06,0.010270895187468071
[6],[3],296485.9368,3.3728412578117263e-06,0.007658700690201662
[6],[20],239266.0,4.179448814290372e-06,0.006180619219649243
[7],[1],7498700.0369698005,1.3335644779359605e-07,0.20647542105533725
[7],[18],5364700.0,1.864037131619662e-07,0.14771609557317045
[7],[0],4770500.00296805,2.0962163282210094e-07,0.1313549004362291
[7],[4],3604612.757,2.7742231063740306e-07,0.09925239482492618
[7],[2],2100800.0966267004,4.76009117481345e-07,0.057845170811682924
[7],[19],1916700.0,5.217300568685762e-07,0.05277600618582508
[7],[10],1794330.0,5.573110854748012e-07,0.04940656919675041
