initial_state,final_state,sum_A_if,lifetime,branching_ratio
"['A1Delta', 0, 2, 0, 2]","['X1Sigma+', 0, 0, 0, 0]",65.79499999999999,0.015198723307242194,0.910921851376815
"['A1Delta', 0, 2, 0, 2]","['X1Sigma+', 1, 0, 0, 0]",2.20904,0.4526853293738457,0.030583825618442733
"['A1Delta', 0, 2, 0, 2]","['a3Delta', 0, 2, 1, 3]",2.1243790999999996,0.47072577582786435,0.02941170822704175
"['A1Delta', 0, 2, 0, 2]","['a3Delta', 0, 2, 1, 1]",1.342439,0.7449128042317007,0.018585865479754392
"['A1Delta', 0, 2, 0, 2]","['a3Delta', 0, 2, 0, 2]",0.75817,1.3189654035374652,0.010496749297946044
"['A1Delta', 1, 2, 0, 2]","['X1Sigma+', 0, 0, 0, 0]",4583.0,0.0002181976871045167,0.8718053176357904
"['A1Delta', 1, 2, 0, 2]","['X1Sigma+', 1, 0, 0, 0]",494.63,0.002021713199765481,0.09409143885275824
"['A1Delta', 1, 2, 0, 2]","['A1Delta', 0, 2, 0, 2]",171.10769999999997,0.0058442723501046425,0.032549116899068184
"['A1Delta', 1, 2, 0, 2]","['X1Sigma+', 2, 0, 0, 0]",8.1699,0.12240051897820046,0.0015541266123832956
"['A1Delta', 2, 2, 0, 2]","['X1Sigma+', 1, 0, 0, 0]",4089.08,0.00024455378715994796,0.5637067378104231
"['A1Delta', 2, 2, 0, 2]","['X1Sigma+', 0, 0, 0, 0]",2257.7799999999997,0.0004429129498888289,0.31124991403778285
"['A1Delta', 2, 2, 0, 2]","['X1Sigma+', 2, 0, 0, 0]",602.75,0.0016590626296142678,0.08309307624581387
"['A1Delta', 2, 2, 0, 2]","['A1Delta', 1, 2, 0, 2]",219.93900000000002,0.004546715225585275,0.030320046613733817
"['A1Delta', 2, 2, 0, 2]","['B1Pi', 0, 1, 0, 1]",64.84049999999999,0.015422459728102036,0.008938692012138852
"['A1Delta', 2, 2, 0, 2]","['A1Delta', 0, 2, 0, 2]",19.52415,0.05121861899237611,0.0026915332801073525
"['A1Delta', 3, 2, 0, 2]","['X1Sigma+', 1, 0, 0, 0]",733.28,0.0013637355444032293,0.4178291214711431
"['A1Delta', 3, 2, 0, 2]","['X1Sigma+', 2, 0, 0, 0]",375.584,0.0026625202351537873,0.21401092728373583
"['A1Delta', 3, 2, 0, 2]","['A1Delta', 2, 2, 0, 2]",327.505,0.0030533884978855286,0.18661510804523065
"['A1Delta', 3, 2, 0, 2]","['X1Sigma+', 0, 0, 0, 0]",144.765,0.006907747038303458,0.0824883165636183
"['A1Delta', 3, 2, 0, 2]","['X1Sigma+', 3, 0, 0, 0]",110.107,0.009082074709146558,0.06273989618948173
"['A1Delta', 3, 2, 0, 2]","['A1Delta', 1, 2, 0, 2]",31.41469,0.03183224154050223,0.01790035501307591
"['A1Delta', 3, 2, 0, 2]","['B1Pi', 1, 1, 0, 1]",21.9645,0.045528011108834705,0.012515557138545881
"['A1Delta', 3, 2, 0, 2]","['B1Pi', 0, 1, 0, 1]",7.73238,0.12932628763718285,0.004405975264947956
"['A1Delta', 3, 2, 0, 2]","['a3Delta', 1, 2, 1, 1]",2.623237857,0.38120828324108774,0.00149474303022059
"['A1Delta', 4, 2, 0, 2]","['A1Delta', 3, 2, 0, 2]",406.291,0.0024612900605723484,0.43588937938408656
"['A1Delta', 4, 2, 0, 2]","['X1Sigma+', 2, 0, 0, 0]",225.13,0.004441878026029405,0.24153076484770622
"['A1Delta', 4, 2, 0, 2]","['X1Sigma+', 1, 0, 0, 0]",107.882,0.009269386922748929,0.11574122495136252
"['A1Delta', 4, 2, 0, 2]","['A1Delta', 2, 2, 0, 2]",68.0907,0.014686293429205457,0.07305112090798965
"['A1Delta', 4, 2, 0, 2]","['X1Sigma+', 3, 0, 0, 0]",56.8788,0.017581242923549723,0.061022431784389965
"['A1Delta', 4, 2, 0, 2]","['X1Sigma+', 4, 0, 0, 0]",28.1988,0.03546250195043761,0.030253088134799884
"['A1Delta', 4, 2, 0, 2]","['X1Sigma+', 0, 0, 0, 0]",21.2498,0.04705926644015473,0.022797852115936518
"['A1Delta', 4, 2, 0, 2]","['B1Pi', 1, 1, 0, 1]",6.401911999999999,0.15620333425389166,0.0068682925502940905
"['A1Delta', 4, 2, 0, 2]","['B1Pi', 2, 1, 0, 1]",2.585468,0.38677717148307383,0.0027738198531038483
"['A1Delta', 4, 2, 0, 2]","['B1Pi', 0, 1, 0, 1]",2.27125,0.4402861860209136,0.0024367110099069553
"['A1Delta', 4, 2, 0, 2]","['a3Delta', 4, 2, 1, 3]",1.62968915,0.6136139520840523,0.0017484123256052424
"['A1Delta', 4, 2, 0, 2]","['a3Delta', 1, 2, 1, 1]",1.6159574496,0.6188281753628669,0.0017336802681261346
"['A1Delta', 4, 2, 0, 2]","['A1Delta', 1, 2, 0, 2]",1.4455609,0.6917729996709235,0.0015508702963218522
"['A1Delta', 4, 2, 0, 2]","['a3Delta', 4, 2, 0, 2]",1.25112,0.7992838416778566,0.0013422643384545028
"['A1Delta', 4, 2, 0, 2]","['a3Delta', 4, 2, 1, 1]",1.1745229999999998,0.8514094658001591,0.0012600872319158815
"['A1Delta', 5, 2, 0, 2]","['A1Delta', 4, 2, 0, 2]",440.59700000000004,0.0022696477733620516,0.5617475647100826
"['A1Delta', 5, 2, 0, 2]","['A1Delta', 3, 2, 0, 2]",123.1796,0.008118227368817564,0.15705018491265732
"['A1Delta', 5, 2, 0, 2]","['X1Sigma+', 3, 0, 0, 0]",79.517,0.012575927160229889,0.10138171867500603
"['A1Delta', 5, 2, 0, 2]","['X1Sigma+', 2, 0, 0, 0]",69.07,0.014478065730418417,0.0880621163887303
"['A1Delta', 5, 2, 0, 2]","['X1Sigma+', 1, 0, 0, 0]",26.7521,0.037380243046340286,0.03410810111253731
"['A1Delta', 5, 2, 0, 2]","['X1Sigma+', 4, 0, 0, 0]",13.4607,0.07429034151269993,0.01716197669138239
"['A1Delta', 5, 2, 0, 2]","['X1Sigma+', 5, 0, 0, 0]",10.873099999999999,0.0919700913263007,0.013862866623806331
"['A1Delta', 5, 2, 0, 2]","['X1Sigma+', 0, 0, 0, 0]",6.354,0.15738117721120554,0.008101153721355036
"['A1Delta', 5, 2, 0, 2]","['B1Pi', 1, 1, 0, 1]",3.61142,0.27689939137513775,0.004604448941198615
"['A1Delta', 5, 2, 0, 2]","['A1Delta', 2, 2, 0, 2]",2.8647099999999996,0.34907547360814883,0.003652416757491813
"['A1Delta', 5, 2, 0, 2]","['B1Pi', 0, 1, 0, 1]",2.07065,0.48294013956970033,0.002640014786453227
"['A1Delta', 5, 2, 0, 2]","['B1Pi', 2, 1, 0, 1]",1.83594,0.544680109371766,0.0023407667867775517
"['A1Delta', 5, 2, 0, 2]","['a3Delta', 5, 2, 1, 3]",1.61470722,0.6193073193789274,0.002058701826282947
"['A1Delta', 5, 2, 0, 2]","['a3Delta', 5, 2, 0, 2]",1.29719,0.7708970929470624,0.0016538771790690179
"['A1Delta', 5, 2, 0, 2]","['a3Delta', 5, 2, 1, 1]",1.234611,0.8099717238871191,0.001574090887169635
"['A1Delta', 6, 2, 0, 2]","['A1Delta', 5, 2, 0, 2]",408.168,0.002449971580329668,0.5513769729437924
"['A1Delta', 6, 2, 0, 2]","['A1Delta', 4, 2, 0, 2]",183.3286,0.005454686284627712,0.24765089012863167
"['A1Delta', 6, 2, 0, 2]","['X1Sigma+', 3, 0, 0, 0]",32.1423,0.031111650379717692,0.04341968032146385
"['A1Delta', 6, 2, 0, 2]","['X1Sigma+', 4, 0, 0, 0]",24.556600000000003,0.04072224982285821,0.03317247744505089
"['A1Delta', 6, 2, 0, 2]","['a3Delta', 7, 2, 1, 1]",23.73576,0.04213052373296663,0.03206363923511973
"['A1Delta', 6, 2, 0, 2]","['X1Sigma+', 2, 0, 0, 0]",18.0781,0.055315547540947335,0.024420944450753542
"['A1Delta', 6, 2, 0, 2]","['a3Delta', 6, 2, 1, 1]",9.410927000000001,0.10625945775586187,0.012712825213772283
"['A1Delta', 6, 2, 0, 2]","['X1Sigma+', 1, 0, 0, 0]",9.0462,0.11054365368884171,0.01222013085946016
"['A1Delta', 6, 2, 0, 2]","['X1Sigma+', 5, 0, 0, 0]",5.436999999999999,0.18392495861688432,0.007344614477115792
"['A1Delta', 6, 2, 0, 2]","['B1Pi', 1, 1, 0, 1]",4.6166599999999995,0.2166068109845646,0.00623645169614151
"['A1Delta', 6, 2, 0, 2]","['X1Sigma+', 6, 0, 0, 0]",4.55427,0.219574157878211,0.006152171670901994
"['A1Delta', 6, 2, 0, 2]","['A1Delta', 3, 2, 0, 2]",3.76616,0.2655224419567942,0.005087547040488213
"['A1Delta', 6, 2, 0, 2]","['B1Pi', 2, 1, 0, 1]",3.57667,0.27958967419415265,0.004831572974409738
"['A1Delta', 6, 2, 0, 2]","['B1Pi', 3, 1, 0, 1]",2.43604741,0.4105010419316921,0.003290753922094249
"['A1Delta', 6, 2, 0, 2]","['a3Delta', 6, 2, 0, 2]",2.070132,0.48306098355080734,0.002796454194728834
"['A1Delta', 6, 2, 0, 2]","['X1Sigma+', 0, 0, 0, 0]",1.95977,0.5102639595462732,0.002647370813650399
"['A1Delta', 6, 2, 0, 2]","['A1Delta', 2, 2, 0, 2]",1.18480254,0.8440224984662845,0.0016004998874025315
