initial_state,final_state,sum_A_if,lifetime,branching_ratio
[1],[0],2.6630000000000003,0.37551633496057074,1.0
[2],[1],5.1738,0.1932815338822529,0.9857784435416156
[2],[0],0.074641,13.397462520598598,0.0142215564583845
[3],[2],7.536099999999999,0.13269462984833005,0.9714586252547531
[3],[1],0.22141,4.516507836141096,0.028541374745246866
[4],[3],9.7538,0.10252414443601468,0.9570533847356961
[4],[2],0.43769,2.2847220635609675,0.04294661526430385
[5],[4],11.8306,0.08452656669991378,0.9425683885128809
[5],[3],0.72085,1.387251161822848,0.05743161148711901
[6],[5],13.770199999999999,0.07262058648385644,0.9280161096404445
[6],[4],1.06812,0.9362243942628169,0.07198389035955553
[7],[6],15.5764,0.06419968670552888,0.9120099302075039
[7],[5],1.47683,0.6771260063785269,0.08646950676846692
[7],[4],0.02597,38.50596842510589,0.0015205630240292284
[8],[7],17.2529,0.05796127027919944,0.8967722509103566
[8],[6],1.94413,0.5143688950841765,0.1010521034818698
[8],[5],0.041857,23.890866521728743,0.002175645607773464
[9],[8],18.8034,0.05318187136368954,0.8813979030554181
[9],[7],2.4669999999999996,0.4053506282934739,0.11563911988458025
[9],[6],0.063211,15.82003132366202,0.002962977060001704
[10],[9],20.2317,0.04942738375915024,0.8658884825066492
[10],[8],3.0427,0.32865547047030597,0.1302233072714098
[10],[7],0.090849,11.007275809309954,0.0038882102219411404
[11],[10],21.54,0.04642525533890437,0.8502382324897106
[11],[9],3.6685,0.2725909772386534,0.14480496545443378
[11],[8],0.125576,7.963305090144614,0.0049568020558555205
[12],[11],22.734,0.04398697985396322,0.8344749521334978
[12],[10],4.3413,0.23034574896920276,0.1593519006640782
[12],[9],0.168178,5.946080938053729,0.006173147202424007
[13],[12],23.816,0.041988579106483036,0.8185944963474998
[13],[11],5.0583,0.19769487772571812,0.17386196426245207
[13],[10],0.21947,4.556431402925229,0.00754353939004811
[14],[13],24.790999999999997,0.04033721915211166,0.8026138449997944
[14],[12],5.8166,0.1719217412233951,0.18831364974489956
[14],[11],0.28023,3.5684973057845344,0.009072505255306054
[15],[14],25.660999999999998,0.03896964264837692,0.7865423737021868
[15],[13],6.6128,0.1512218727316719,0.20269075284742688
[15],[12],0.35126999999999997,2.8468129928544994,0.010766873450386467
