,iso_formula,molecule,isotopologue,iso_slug,truncate_E,life,headers
0,(1H)2(16O),H2O,POKAZATEL,1H2-16O,41200.0,0.0,"['i', 'E_i', 'g_i', 'J_i', 'N', 'Ka', 'Kc', 'v1', 'v2', 'v3', 'Gamma_rve']"
1,(12C)(16O)2,CO2,UCL-4000,12C-16O2,16000.0,0.0,"['i', 'E_i', 'g_i', 'J_i', 'Gamma', 'e/f', 'n1', 'n2', 'l2', 'n3', 'm1', 'm2', 'm3', 'm4', 'm5', 'v1', 'v2', 'v3']"
2,(12C)(16O),CO,Li2015,12C-16O,,0.0,"['i', 'E_i', 'g_i', 'J_i', 'eS', 'v', 'kp']"
3,(12C)(1H)4,CH4,YT34to10,12C-1H4,12000.0,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', 'G', 'n1', 'n2', 'L2', 'n3', 'L3', 'M3', 'n4', 'L4', 'M4', 'Gv', 'Ja', 'K', 'Pr', 'Gr', 'N(Bl)', 'C2', 'v1', 'v2', 'v3', 'v4', 'v5', 'v6', 'v7', 'v8', 'v9']"
4,(14N)(16O),NO,NOname,14N-16O,52102.0,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', '+/-', 'e/f', 'State', 'v', 'Lambda', 'Sigma', 'Omega', 'e/c']"
5,(32S)(16O)2,SO2,ExoAmes,32S-16O2,8000.0,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', '+/-', 'Gamma', 'N', 'nucspin', 'Gamma_rve', 'v1', 'v2', 'v3', 'Ka', 'Kc']"
6,(14N)(1H)3,NH3,CoYuTe,14N-1H3,11000.0,0.0,"['i', 'E_i', 'g_i', 'J_i', '+/-', 'Gamma', 'N(Block)', 'n1', 'n2', 'n3', 'n4', 'l3', 'l4', 'tau(inv)', 'J', 'K', 'Gamma(rot)', 'v1', 'v2', 'v3', 'v4', 'v5', 'v6', 'Gamma(vib)']"
7,(1H)(14N)(16O)3,HNO3,AIJS,1H-14N-16O3,10000.0,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', 'A\'/A""', 'n1', 'n2', 'n3', 'n4', 'n5', 'n6', 'n7', 'n8', 'n9']"
8,(16O)(1H),OH,MoLLIST,16O-1H,46085.12483,0.0,"['i', 'E_i', 'g_i', 'J_i', 'v', 'Es', 'F1/F2', 'e/f']"
9,(1H)(19F),HF,Coxon-Hajig,1H-19F,40000.0,0.0,"['i', 'E_i', 'g_i', 'J_i', 'v']"
10,(1H)(35Cl),HCl,HITRAN,1H-35Cl,,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', 'v', 'eS']"
11,(1H)2(12C)(16O),H2CO,AYTY,1H2-12C-16O,8000.0,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', 'G', 'v1', 'v2', 'v3', 'v4', 'v5', 'v6', 'Gv', 'Ja', 'K', 'Pr', 'Gr', 'N(B1)', 'C2', 'n1', 'n2', 'n3', 'n4', 'n5', 'n6']"
12,(14N)2,N2,WCCRMT,14N2,100471.940015,0.0,"['i', 'E_i', 'g_i', 'J_i', '+/-', 'e/f', 'g/u', 'Esv', 'Omega', 'F', 'J', 'N']"
13,(1H)(12C)(14N),HCN,Harris,1H-12C-14N,,0.0,"['i', 'E_i', 'g_i', 'J_i', '+/-', 'kp', 'iso', 'v1', 'v2', 'l2', 'v3']"
14,(12C)(1H)3(35Cl),CH3Cl,OYT,12C-1H3-35Cl,8000.0,0.0,"['i', 'E_i', 'g_i', 'J_i', 'totalSym', 'v1', 'v2', 'v3', 'v4', 'v5', 'v6', 'v7', 'v8', 'v9', 'VibSym', 'K', 'rotSym', 'Coeff']"
15,(1H)2(16O)2,H2O2,APTY,1H2-16O2,8000.0,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', 'G', 'v1', 'v2', 'v3', 'v4', 'v5', 'v6', 'tau', 'Gv', 'K', 'Pr', 'Gr', 'N(Bl', 'C2', 'n1', 'n2', 'n3', 'n4', 'n6', 'n6']"
16,(12C)2(1H)2,C2H2,aCeTY,12C2-1H2,12000.0,0.0,"['i', 'E_i', 'g_i', 'J_i', 'totalSym', 'v1', 'v2', 'v3', 'v4', 'v5', 'v5', 'v7', 'vibSym', 'K', 'rotSym']"
17,(31P)(1H)3,PH3,SAlTY,31P-1H3,,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', 'totalSym', 'K', 'rotSym', 'l', 'v1', 'v2', 'v3', 'v4', 'l3', 'l4', 'vibSym']"
18,(1H)2(32S),H2S,AYT2,1H2-32S,10000.0,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', '+/-', 'Gamma', 'N', 'nucspin', 'Gamma_rve', 'v1', 'v2', 'v3', 'Ka', 'Kc']"
19,(12C)2(1H)4,C2H4,MaYTY,12C2-1H4,12000.0,0.0,"['i', 'E_i', 'g_i', 'J_i', 'G', 'J', 'G', 'n1', 'n2', 'n3', 'n4', 'n5', 'n6', 'n7', 'n8', 'n9', 'n10', 'n11', 'n12', 'Gv', 'J', 'K', 'Pr', 'Gr']"
20,(12C)(32S),CS,JnK,12C-32S,30000.0,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', 'v']"
21,(1H)2,H2,RACPPK,1H2,35200.841676,0.0,"['i', 'E_i', 'g_i', 'J_i', 'V']"
22,(7Li)(1H),LiH,CLT-LiH,7Li-1H,20000.0,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', 'v']"
23,(7Li)(1H)+,LiH_p,CLT,7Li-1H_p,10000.0,0.0,"['i', 'E_i', 'g_i', 'J_i', 'v']"
24,(56Fe)(1H),FeH,MoLLIST,56Fe-1H,,0.0,"['i', 'E_i', 'g_i', 'J_i', 'v', 'Omega', 'e/f', 'eS']"
25,(48Ti)(1H),TiH,MoLLIST,48Ti-1H,,0.0,"['i', 'E_i', 'g_i', 'J_i', 'v', 'Omega', 'par', 'eS', 'parity']"
26,(9Be)(1H),BeH,Darby-Lewis,9Be-1H,40000.0,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', '+/-', 'e/f', 'State', 'v', 'Lambda', 'Sigma', 'Omega']"
27,(40Ca)(1H),CaH,Yadin,40Ca-1H,,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', 'par', 'v', 'N', 'e/f']"
28,(52Cr)(1H),CrH,MoLLIST,52Cr-1H,,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', 'v', 's', 'par', 'eS']"
29,(28Si)(1H),SiH,SiGHTLY,28Si-1H,32000.0,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', '+/-', 'e/f', 'State', 'v', 'Lambda', 'Sigma', 'Omega']"
30,(27Al)(1H),AlH,AlHambra,27Al-1H,28000.0,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', '+/-', 'e/f', 'State', 'v', 'Lambda', 'Sigma', 'Omega']"
31,(23Na)(1H),NaH,Rivlin,23Na-1H,35000.0,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', 'X/A', 'v']"
32,(24Mg)(1H),MgH,Yadin,24Mg-1H,10000.0,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', '+/-', 'v', 'N', 'e/f']"
33,(28Si)(16O),SiO,EBJT,28Si-16O,50000.0,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', 'v']"
34,(49Ti)(16O),TiO,Toto,49Ti-16O,20000.0,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', '+/-', 'e/f', 'State', 'v', 'Lambda', 'Sigma', 'Omega']"
35,(24Mg)(16O),MgO,LiTY,24Mg-16O,37000.0,0.0,"['i', 'E_i', 'g_i', 'J_i', '+/-', 'e/f', 'State', 'v', 'Lambda', 'Sigma', 'Omega']"
36,(1H)3+,H3_p,MiZATeP,1H3_p,,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i']"
37,(4He)(1H)+,HeH_p,ADJSAAM,4He-1H_p,,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', 'v', 'q/qs']"
38,(1H)(2H)+,H2_p,ADJSAAM,1H-2H_p,,0.0,"['i', 'E_i', 'g_i', 'J_i', 'v', 'q/qs']"
39,(12C)2,C2,8states,12C2,30000.0,0.0,"['i', 'E_i', 'g_i', 'J_i', '+/-', 'e/f', 'State', 'v', 'Lambda', 'Sigma', 'Omega']"
40,(12C)(14N),CN,MoLLIST,12C-14N,,0.0,"['i', 'E_i', 'g_i', 'J_i', 'eS', 'v', 'F', 'kp']"
41,(12C)(1H),CH,MoLLIST,12C-1H,,0.0,"['i', 'E_i', 'g_i', 'J_i', 'v', 'N', 'Omega', 'e/f', 'Eta']"
42,(7Li)(35Cl),LiCl,MoLLIST,7Li-35Cl,26802.501,0.0,"['i', 'E_i', 'g_i', 'J_i', 'v']"
43,(23Na)(35Cl),NaCl,Barton,23Na-35Cl,20000.0,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', 'v']"
44,(14N)(1H),NH,MoLLIST,14N-1H,26860.17504,0.0,"['i', 'E_i', 'g_i', 'J_i', 'v', 'eta', 'F', 'e/f', 'N']"
45,(32S)(16O)3,SO3,UYT2,32S-16O3,4000.0,0.0,"['i', 'E_i', 'g_i', 'J_i', 'totalSym', 'K', 'rotSym', 'v1', 'v2', 'v3', 'v4', 'v5', 'v6', 'n1', 'n2', 'n3', 'n4', 'L3', 'L4', 'vibSym']"
