"['State', 'v', 'Lambda', 'Sigma', 'Omega']",lifetime_i
"['A2PI', 0, 1, 0.5, 0.5]",0.00021568606362658304
"['A2PI', 0, 1, 0.5, 1.5]",0.00023852744432404082
"['A2PI', 1, 1, 0.5, 0.5]",0.00013057990502492056
"['A2PI', 1, 1, 0.5, 1.5]",0.00014036703129136898
"['A2PI', 2, 1, 0.5, 0.5]",9.634902610716716e-05
"['A2PI', 2, 1, 0.5, 1.5]",0.0001018794131247131
"['A2PI', 3, 1, 0.5, 0.5]",8.047461628871233e-05
"['A2PI', 3, 1, 0.5, 1.5]",9.80819775881385e-05
"['A2PI', 4, 1, 0.5, 0.5]",7.081067336722366e-05
"['A2PI', 4, 1, 0.5, 1.5]",6.796735270768479e-05
"['A2PI', 5, 1, 0.5, 0.5]",5.602365482397769e-05
"['A2PI', 5, 1, 0.5, 1.5]",5.898280250610528e-05
"['A2PI', 6, 1, 0.5, 0.5]",4.990690004557752e-05
"['A2PI', 6, 1, 0.5, 1.5]",5.244376167334592e-05
"['A2PI', 7, 1, 0.5, 0.5]",4.542356749341915e-05
"['A2PI', 7, 1, 0.5, 1.5]",4.7485717696724835e-05
"['A2PI', 8, 1, 0.5, 0.5]",4.2246437761369595e-05
"['A2PI', 8, 1, 0.5, 1.5]",4.533282275075082e-05
"['A2PI', 9, 1, 0.5, 0.5]",5.5545645610625356e-05
"['A2PI', 9, 1, 0.5, 1.5]",4.0439267176808926e-05
"['A2PI', 10, 1, 0.5, 0.5]",3.6335408155433954e-05
"['A2PI', 10, 1, 0.5, 1.5]",3.7843449089919105e-05
"['A2PI', 11, 1, 0.5, 0.5]",3.423865653500637e-05
"['A2PI', 11, 1, 0.5, 1.5]",3.5699727627640755e-05
"['A2PI', 12, 1, 0.5, 0.5]",3.2607854556483154e-05
"['A2PI', 12, 1, 0.5, 1.5]",3.38975090121354e-05
"['A2PI', 13, 1, 0.5, 0.5]",3.129552941025933e-05
"['A2PI', 13, 1, 0.5, 1.5]",3.239879303021912e-05
"['A2PI', 14, 1, 0.5, 0.5]",3.08567262437105e-05
"['A2PI', 14, 1, 0.5, 1.5]",3.109081657992725e-05
"['A2PI', 15, 1, 0.5, 0.5]",2.9307933440034773e-05
"['A2PI', 15, 1, 0.5, 1.5]",2.9872782327978808e-05
"['A2PI', 16, 1, 0.5, 0.5]",2.7850595643336472e-05
"['A2PI', 16, 1, 0.5, 1.5]",2.8926880487446083e-05
"['A2PI', 17, 1, 0.5, 0.5]",2.7066817651421093e-05
"['A2PI', 17, 1, 0.5, 1.5]",2.8056691780199243e-05
"['A2PI', 18, 1, 0.5, 0.5]",2.6406382607720833e-05
"['A2PI', 18, 1, 0.5, 1.5]",2.7299110367619887e-05
"['A2PI', 19, 1, 0.5, 0.5]",2.590775282728973e-05
"['A2PI', 19, 1, 0.5, 1.5]",2.697298933104898e-05
"['A2PI', 20, 1, 0.5, 0.5]",2.6904231424940326e-05
"['A2PI', 20, 1, 0.5, 1.5]",2.6027716473885917e-05
"['A2PI', 21, 1, 0.5, 0.5]",2.46759382633554e-05
"['A2PI', 21, 1, 0.5, 1.5]",2.5500210694082234e-05
"['A2PI', 22, 1, 0.5, 0.5]",2.4275503797538684e-05
"['A2PI', 22, 1, 0.5, 1.5]",2.5113761942019398e-05
"['A2PI', 23, 1, 0.5, 0.5]",2.4013499802965645e-05
"['A2PI', 23, 1, 0.5, 1.5]",2.479064950870303e-05
"['A2PI', 24, 1, 0.5, 0.5]",2.3720824242802215e-05
"['A2PI', 24, 1, 0.5, 1.5]",2.444038833869918e-05
"['A2PI', 25, 1, 0.5, 0.5]",2.3485046939362956e-05
"['A2PI', 25, 1, 0.5, 1.5]",2.5249292280523008e-05
"['A2PI', 26, 1, 0.5, 0.5]",2.392780719924461e-05
"['A2PI', 26, 1, 0.5, 1.5]",2.3927481714258346e-05
"['A2PI', 27, 1, 0.5, 0.5]",2.322605245565835e-05
"['A2PI', 27, 1, 0.5, 1.5]",2.389899318010212e-05
"['A2PI', 28, 1, 0.5, 0.5]",2.2601725305551556e-05
"['A2PI', 28, 1, 0.5, 1.5]",2.376899450940135e-05
"['A2PI', 29, 1, 0.5, 0.5]",2.253183580995152e-05
"['A2PI', 29, 1, 0.5, 1.5]",2.3209740876065983e-05
"['A2PI', 30, 1, 0.5, 0.5]",2.1516611768381527e-05
"['A2PI', 30, 1, 0.5, 1.5]",2.2142617748907786e-05
"['A2PI', 31, 1, 0.5, 0.5]",2.0318730638289343e-05
"['A2PI', 31, 1, 0.5, 1.5]",2.0898709560352324e-05
"['A2PI', 32, 1, 0.5, 0.5]",1.934435657216983e-05
"['A2PI', 32, 1, 0.5, 1.5]",1.9891802128833363e-05
"['A2PI', 33, 1, 0.5, 0.5]",1.8765585551604797e-05
"['A2PI', 33, 1, 0.5, 1.5]",1.929503296511666e-05
"['A2PI', 34, 1, 0.5, 0.5]",1.8429542485081212e-05
"['A2PI', 34, 1, 0.5, 1.5]",1.8956103442497108e-05
"['A2PI', 35, 1, 0.5, 0.5]",1.8025708747341595e-05
"['A2PI', 35, 1, 0.5, 1.5]",1.854004007925913e-05
"['A2PI', 36, 1, 0.5, 0.5]",1.7546916201740764e-05
"['A2PI', 36, 1, 0.5, 1.5]",1.78278262757017e-05
"['A2PI', 37, 1, 0.5, 0.5]",1.654666171505579e-05
"['A2PI', 37, 1, 0.5, 1.5]",1.697005287956992e-05
"['A2PI', 38, 1, 0.5, 0.5]",1.59190071587827e-05
"['A2PI', 38, 1, 0.5, 1.5]",1.5970494570061203e-05
