"['n1', 'n2', 'L2', 'n3', 'L3', 'M3', 'n4', 'L4', 'M4']",lifetime_i
"[0, 0, 0, 0, 0, 0, 0, 0, 0]",inf
"[0, 0, 0, 0, 0, 0, 1, 1, 1]",0.46861078016191227
"[0, 0, 0, 0, 0, 0, 2, 0, 0]",0.2062754130401311
"[0, 0, 0, 0, 0, 0, 2, 2, 1]",0.22924804194196283
"[0, 0, 0, 0, 0, 0, 2, 2, 2]",0.23534502410452268
"[0, 0, 0, 0, 0, 0, 3, 1, 0]",0.1504654364442219
"[0, 0, 0, 0, 0, 0, 3, 1, 1]",0.13348341094736701
"[0, 0, 0, 0, 0, 0, 3, 3, 1]",0.15534493217281234
"[0, 0, 0, 0, 0, 0, 3, 3, 3]",0.1517772542707319
"[0, 0, 0, 0, 0, 0, 4, 0, 0]",0.09540710969276556
"[0, 0, 0, 0, 0, 0, 4, 2, 1]",0.09716843228802895
"[0, 0, 0, 0, 0, 0, 4, 2, 2]",0.10179522779068534
"[0, 0, 0, 0, 0, 0, 4, 4, 0]",0.11580759288063354
"[0, 0, 0, 0, 0, 0, 4, 4, 1]",0.11177908020152252
"[0, 0, 0, 0, 0, 0, 4, 4, 2]",0.11261222188200826
"[0, 0, 0, 0, 0, 0, 4, 4, 3]",0.11624108271756221
"[0, 0, 0, 0, 0, 0, 5, 1, 0]",0.07012280402095464
"[0, 0, 0, 0, 0, 0, 5, 1, 1]",0.07545926328971596
"[0, 0, 0, 0, 0, 0, 5, 3, 2]",0.08239976045893038
"[0, 0, 0, 0, 0, 0, 5, 3, 3]",0.07208352237985409
"[0, 0, 0, 0, 0, 0, 5, 5, 1]",0.07618970677990651
"[0, 0, 0, 0, 0, 0, 5, 5, 3]",0.08614378596943564
"[0, 0, 0, 0, 0, 0, 5, 5, 5]",0.0852128691717696
"[0, 0, 0, 0, 0, 0, 6, 0, 0]",0.06341642043932083
"[0, 0, 0, 0, 0, 0, 6, 2, 0]",0.06816479209095404
"[0, 0, 0, 0, 0, 0, 6, 2, 1]",0.06274635487805039
"[0, 0, 0, 0, 0, 0, 6, 2, 2]",0.06657932717033274
"[0, 0, 0, 0, 0, 0, 6, 4, 0]",0.05644677042236068
"[0, 0, 0, 0, 0, 0, 6, 4, 1]",0.06802160926951512
"[0, 0, 0, 0, 0, 0, 6, 4, 2]",0.060095155798174225
"[0, 0, 0, 0, 0, 0, 6, 4, 3]",0.06613649468587832
"[0, 0, 0, 0, 0, 0, 6, 6, 1]",0.061837684120097026
"[0, 0, 0, 0, 0, 0, 6, 6, 5]",0.05652273803283327
"[0, 0, 0, 0, 0, 0, 6, 6, 6]",0.06744964779334826
"[0, 0, 0, 0, 0, 0, 7, 1, 0]",0.0433373705048622
"[0, 0, 0, 0, 0, 0, 7, 1, 1]",0.039515315455404966
"[0, 0, 0, 0, 0, 0, 7, 3, 2]",0.046082887905162656
"[0, 0, 0, 0, 0, 0, 7, 3, 3]",0.04479657764695973
"[0, 0, 0, 0, 0, 0, 7, 5, 1]",0.04418058652315536
"[0, 0, 0, 0, 0, 0, 7, 5, 2]",0.03985026158202409
"[0, 0, 0, 0, 0, 0, 7, 5, 3]",0.04383028464338133
"[0, 0, 0, 0, 0, 0, 7, 5, 5]",0.043182318316434175
"[0, 0, 0, 0, 0, 0, 7, 7, 1]",0.044544264330079485
"[0, 0, 0, 0, 0, 0, 7, 7, 3]",0.042351232973986415
"[0, 0, 0, 0, 0, 0, 7, 7, 5]",0.036408269953323184
"[0, 0, 0, 0, 0, 0, 7, 7, 7]",0.039702367800265176
"[0, 0, 0, 0, 0, 0, 8, 0, 0]",0.0351296405758215
"[0, 0, 0, 0, 0, 0, 8, 2, 0]",0.03448364995575144
"[0, 0, 0, 0, 0, 0, 8, 2, 1]",0.03437827558836772
"[0, 0, 0, 0, 0, 0, 8, 2, 2]",0.034041603633370644
"[0, 0, 0, 0, 0, 0, 8, 4, 0]",0.03691877985567272
"[0, 0, 0, 0, 0, 0, 8, 4, 1]",0.03511667509190161
"[0, 0, 0, 0, 0, 0, 8, 4, 2]",0.03427687415934446
"[0, 0, 0, 0, 0, 0, 8, 6, 0]",0.035320638439235996
"[0, 0, 0, 0, 0, 0, 8, 6, 1]",0.03430966401295628
"[0, 0, 0, 0, 0, 0, 8, 6, 2]",0.03317070286573272
"[0, 0, 0, 0, 0, 0, 8, 6, 3]",0.030211158122121634
"[0, 0, 0, 0, 0, 0, 8, 6, 5]",0.034144260575642495
"[0, 0, 0, 0, 0, 0, 8, 6, 6]",0.034548163329805856
"[0, 0, 0, 0, 0, 0, 8, 8, 0]",0.034729342399626356
"[0, 0, 0, 0, 0, 0, 8, 8, 1]",0.034708880610976184
"[0, 0, 0, 0, 0, 0, 8, 8, 2]",0.029460213336375895
"[0, 0, 0, 0, 0, 0, 8, 8, 5]",0.03319172156122788
"[0, 0, 0, 0, 0, 0, 8, 8, 7]",0.03568767402319825
"[0, 0, 0, 0, 0, 0, 8, 8, 8]",0.0344613942132758
"[0, 0, 0, 0, 0, 0, 9, 1, 0]",0.05151586000422248
"[0, 0, 0, 0, 0, 0, 9, 1, 1]",0.03334166766408704
"[0, 0, 0, 0, 0, 0, 9, 3, 0]",0.055023631372101464
"[0, 0, 0, 0, 0, 0, 9, 3, 1]",0.05202210105068005
"[0, 0, 0, 0, 0, 0, 9, 3, 2]",0.04695982680066138
"[0, 0, 0, 0, 0, 0, 9, 3, 3]",0.04753303667542024
"[0, 0, 0, 0, 0, 0, 9, 5, 0]",0.12404825093315688
"[0, 0, 0, 0, 0, 0, 9, 5, 1]",0.04937936348203051
"[0, 0, 0, 0, 0, 0, 9, 5, 2]",0.052092235039655224
"[0, 0, 0, 0, 0, 0, 9, 5, 3]",0.04806142484525607
"[0, 0, 0, 0, 0, 0, 9, 5, 5]",0.04930495895440846
"[0, 0, 0, 0, 0, 0, 9, 7, 1]",0.054453289986010185
"[0, 0, 0, 0, 0, 0, 9, 7, 2]",0.055880276804961666
"[0, 0, 0, 0, 0, 0, 9, 9, 1]",0.05256438815868958
"[0, 0, 0, 0, 0, 0, 9, 9, 3]",0.05055710831397052
"[0, 0, 0, 0, 0, 0, 9, 9, 5]",0.05559041329778588
"[0, 0, 0, 0, 0, 0, 9, 9, 7]",0.05360938889728088
"[0, 0, 0, 0, 0, 0, 10, 0, 0]",0.1484020139978607
"[0, 0, 0, 0, 0, 0, 10, 2, 0]",0.17861048551113443
"[0, 0, 0, 0, 0, 0, 10, 2, 1]",0.1588949925857565
"[0, 0, 0, 0, 0, 0, 10, 2, 2]",0.15259455316666762
"[0, 0, 0, 0, 0, 0, 10, 4, 1]",0.09158826817280828
"[0, 0, 0, 0, 0, 0, 10, 4, 2]",0.10845133234857297
"[0, 0, 0, 0, 0, 0, 10, 4, 3]",0.14395724307783536
"[0, 0, 0, 0, 0, 0, 10, 6, 1]",0.13446389485895952
"[0, 0, 0, 0, 0, 0, 10, 6, 2]",0.0995283866232212
"[0, 0, 0, 0, 0, 0, 10, 6, 3]",0.14386708541376284
"[0, 0, 0, 0, 0, 0, 10, 6, 5]",0.14028362499412297
"[0, 0, 0, 0, 0, 0, 10, 6, 6]",0.09887293593267946
"[0, 0, 0, 0, 0, 0, 10, 8, 3]",0.16958532129915374
"[0, 0, 0, 0, 0, 0, 10, 8, 6]",0.1665254440065283
"[0, 0, 0, 0, 0, 0, 10, 10, 9]",0.1350961162311676
"[0, 0, 0, 1, 1, 1, 0, 0, 0]",0.03827750796073472
"[0, 0, 0, 1, 1, 1, 1, 1, 1]",0.037078993907230795
"[0, 0, 0, 1, 1, 1, 2, 0, 0]",0.03661318225982988
"[0, 0, 0, 1, 1, 1, 2, 2, 1]",0.04226838519255032
"[0, 0, 0, 1, 1, 1, 2, 2, 2]",0.038612452840226456
"[0, 0, 0, 1, 1, 1, 3, 1, 0]",0.05109603977651112
"[0, 0, 0, 1, 1, 1, 3, 1, 1]",0.04162962781435064
"[0, 0, 0, 1, 1, 1, 3, 3, 1]",0.038550597756557566
"[0, 0, 0, 1, 1, 1, 3, 3, 3]",0.03866031694770146
"[0, 0, 0, 1, 1, 1, 4, 0, 0]",0.04055590852336337
"[0, 0, 0, 1, 1, 1, 4, 2, 1]",0.04019425072709413
"[0, 0, 0, 1, 1, 1, 4, 2, 2]",0.03698768937288734
"[0, 0, 0, 1, 1, 1, 4, 4, 1]",0.04094467138408319
"[0, 0, 0, 1, 1, 1, 4, 4, 2]",0.038973676994343766
"[0, 0, 0, 1, 1, 1, 4, 4, 3]",0.03660307765361652
"[0, 0, 0, 1, 1, 1, 5, 1, 1]",0.032102110164724904
"[0, 0, 0, 1, 1, 1, 5, 3, 1]",0.033994823916776024
"[0, 0, 0, 1, 1, 1, 5, 3, 2]",0.031686112046183296
"[0, 0, 0, 1, 1, 1, 5, 3, 3]",0.03278000461338869
"[0, 0, 0, 1, 1, 1, 5, 5, 1]",0.03236091602144812
"[0, 0, 0, 1, 1, 1, 5, 5, 3]",0.03142922882911877
"[0, 0, 0, 1, 1, 1, 5, 5, 5]",0.03203933752347726
"[0, 0, 0, 1, 1, 1, 6, 0, 0]",0.026977694634151502
"[0, 0, 0, 1, 1, 1, 6, 2, 0]",0.030226819851522996
"[0, 0, 0, 1, 1, 1, 6, 2, 1]",0.02905167325488407
"[0, 0, 0, 1, 1, 1, 6, 2, 2]",0.027570273700006278
"[0, 0, 0, 1, 1, 1, 6, 4, 1]",0.02814667777817589
"[0, 0, 0, 1, 1, 1, 6, 4, 2]",0.028069503031110568
"[0, 0, 0, 1, 1, 1, 6, 4, 3]",0.026787135824650008
"[0, 0, 0, 1, 1, 1, 6, 6, 1]",0.02981920186111838
"[0, 0, 0, 1, 1, 1, 6, 6, 3]",0.031289351859032415
"[0, 0, 0, 1, 1, 1, 6, 6, 5]",0.027916103913194264
"[0, 0, 0, 1, 1, 1, 7, 1, 1]",0.041054088690817066
"[0, 0, 0, 1, 1, 1, 7, 3, 1]",0.041217274707643525
"[0, 0, 0, 1, 1, 1, 7, 3, 2]",0.04336675849865291
"[0, 0, 0, 1, 1, 1, 7, 5, 1]",0.043041729583409453
"[0, 0, 0, 1, 1, 1, 7, 5, 2]",0.04965828140539196
"[0, 0, 0, 1, 1, 1, 7, 5, 3]",0.04019313307224317
"[0, 0, 0, 1, 1, 1, 7, 5, 5]",0.04285801285365207
"[0, 0, 0, 1, 1, 1, 7, 7, 1]",0.04741270392138015
"[0, 0, 0, 1, 1, 1, 7, 7, 3]",0.04668590987210468
"[0, 0, 0, 1, 1, 1, 7, 7, 5]",0.049551453848031835
"[0, 0, 0, 1, 1, 1, 7, 7, 7]",0.05025197429705223
"[0, 0, 0, 1, 1, 1, 8, 2, 0]",0.09397490964258956
"[0, 0, 0, 1, 1, 1, 8, 2, 1]",0.17812393660404519
"[0, 0, 0, 1, 1, 1, 8, 2, 2]",0.10793612277985708
