['v'],lifetime_i
[0],inf
[1],0.06216472234064601
[2],0.01597754400926621
[3],0.02102839252717884
[4],0.016483388322455234
[5],0.013444671711548641
[6],0.005910180237705015
[7],0.00925621503027553
[8],0.008882320725904327
[9],0.00807486136125239
[10],0.007412770787167194
[11],0.006873734358509023
[12],0.006427640624639056
[13],0.006053174988989078
[14],0.005734982353839416
[15],0.005462207500914421
[16],0.023688139188598776
[17],0.006405374162942172
[18],0.004951307127059328
[19],0.004689220227059358
[20],0.00453981939135087
[21],0.004414024013935188
[22],0.004302567432918548
[23],0.004203149318415134
[24],0.004114359171729638
[25],0.00403498204783336
[26],0.00396404614082229
[27],0.003900666736821994
[28],0.0038441615682161417
[29],0.0037939219206336782
[30],0.0037494351906871086
[31],0.0037102897717825574
[32],0.0036761356488286007
[33],0.00364668290283756
[34],0.003621747318999687
[35],0.0036011318922047762
[36],0.003584720846452584
[37],0.0035724773457974984
[38],0.00356433276532892
[39],0.0035603855593130686
[40],0.0035606685394308736
[41],0.0035653929648365333
[42],0.0035748246586844914
[43],0.00358931117075669
[44],0.0036093411893785405
[45],0.0036356402021336556
[46],0.003669060658006526
[47],0.003710839095331069
[48],0.003762740670293746
[49],0.0038271782445161045
