"['v1', 'v2', 'v3']",lifetime_i
"[0.0, 0.0, 0.0]",inf
"[0.0, 0.0, 1.0]",1.1659448306111277
"[0.0, 0.0, 2.0]",0.6354512058501385
"[0.0, 0.0, 3.0]",0.9612413640153372
"[0.0, 0.0, 4.0]",0.7330518199316262
"[0.0, 1.0, 0.0]",0.34546696922865006
"[0.0, 1.0, 1.0]",0.17263981287956529
"[0.0, 1.0, 2.0]",0.2562435842924883
"[0.0, 1.0, 3.0]",0.20534470592432302
"[0.0, 1.0, 4.0]",0.1016805367173268
"[0.0, 2.0, 0.0]",0.1582277565564462
"[0.0, 2.0, 1.0]",0.09064441988013694
"[0.0, 2.0, 2.0]",0.13138200172580675
"[0.0, 2.0, 3.0]",0.11339244935632019
"[0.0, 3.0, 0.0]",0.09707697658155084
"[0.0, 3.0, 1.0]",0.0604267832942911
"[0.0, 3.0, 2.0]",0.0852438758803968
"[0.0, 3.0, 3.0]",0.07428048416665234
"[0.0, 4.0, 0.0]",0.06815657189707859
"[0.0, 4.0, 1.0]",0.045084667143615684
"[0.0, 4.0, 2.0]",0.06154806174244979
"[0.0, 4.0, 3.0]",0.05425439519143725
"[0.0, 5.0, 0.0]",0.051590380911810264
"[0.0, 5.0, 1.0]",0.03684032101603119
"[0.0, 5.0, 2.0]",0.041240425783866046
"[0.0, 6.0, 0.0]",0.04090445372376167
"[0.0, 6.0, 1.0]",0.0428135204401764
"[0.0, 6.0, 2.0]",0.037996721962127944
"[0.0, 7.0, 0.0]",0.033386511989950476
"[0.0, 7.0, 1.0]",0.03421701891867277
"[0.0, 7.0, 2.0]",0.028741129335560625
"[0.0, 8.0, 0.0]",0.027881648484054014
"[0.0, 8.0, 1.0]",0.03355527613926164
"[0.0, 9.0, 0.0]",0.023352627117975016
"[0.0, 9.0, 1.0]",0.02534571358926585
"[0.0, 10.0, 0.0]",0.02508184493711985
"[0.0, 10.0, 1.0]",0.03980775389778578
"[0.0, 11.0, 0.0]",0.021402852641596568
"[0.0, 11.0, 1.0]",0.01838750659953009
"[0.0, 12.0, 0.0]",0.018994277918032695
"[0.0, 13.0, 0.0]",0.01603855673438313
"[0.0, 14.0, 0.0]",0.013638846717150621
"[1.0, 0.0, 0.0]",0.007193619392685634
"[1.0, 0.0, 1.0]",0.011744634287019313
"[1.0, 0.0, 2.0]",0.011829328082146333
"[1.0, 0.0, 3.0]",0.011914719082306813
"[1.0, 1.0, 0.0]",0.007305505997723278
"[1.0, 1.0, 1.0]",0.01178927918238452
"[1.0, 1.0, 2.0]",0.011849119414096682
"[1.0, 2.0, 0.0]",0.011702641283458456
"[1.0, 2.0, 1.0]",0.011716317391317949
"[1.0, 2.0, 2.0]",0.011752765962561897
"[1.0, 3.0, 0.0]",0.011572053545741527
"[1.0, 3.0, 1.0]",0.011559198053097236
"[1.0, 3.0, 2.0]",0.011389188543805794
"[1.0, 4.0, 0.0]",0.011367177764952122
"[1.0, 4.0, 1.0]",0.011323569668057065
"[1.0, 5.0, 0.0]",0.01109537339918011
"[1.0, 5.0, 1.0]",0.011019977245441964
"[1.0, 6.0, 0.0]",0.010772059836525138
"[1.0, 6.0, 1.0]",0.012769129521144907
"[1.0, 7.0, 0.0]",0.01041098129333795
"[1.0, 8.0, 0.0]",0.010030620455095693
"[1.0, 9.0, 0.0]",0.009642745171726304
"[2.0, 0.0, 0.0]",0.006186136445317012
"[2.0, 0.0, 1.0]",0.006231606905510847
"[2.0, 1.0, 0.0]",0.006306147182260299
"[2.0, 1.0, 1.0]",0.006349614537546728
"[2.0, 2.0, 0.0]",0.006385895137780113
"[2.0, 3.0, 0.0]",0.006433706476041292
"[2.0, 4.0, 0.0]",0.006452914002447957
"[3.0, 0.0, 0.0]",0.004381556487627476
