['v'],lifetime_i
[0],inf
[1],0.005079855325720323
[2],0.0027917754295844442
[3],0.002045049997382336
[4],0.001685104859357104
[5],0.0014779639448094448
[6],0.0013407291645524345
[7],0.001246466599529491
[8],0.0011738869461200758
[9],0.0011121728169428337
[10],0.0010542315192790975
[11],0.0009954910728357724
[12],0.0009358403575157632
[13],0.0008972618461228522
[14],0.0009020805284464232
[15],0.0015815465927999216
[16],0.004740587918232443
[17],0.015356064916228826
[18],0.036966731789725836
[19],0.0830827695475063
