['v'],lifetime_i
[0],inf
[1],1.777367008513588
[2],0.932847220427787
[3],0.6370844284735024
[4],0.4864268240226208
[5],0.3951508933663819
[6],0.333959004317432
[7],0.2900921664931202
[8],0.25711598211586684
[9],0.2314407196897867
[10],0.21088510805481694
[11],0.19407299172274287
[12],0.18006347607938306
[13],0.16821752692858832
[14],0.15807875458912662
[15],0.14930465344789504
[16],0.14164167086994436
[17],0.1348957452663699
[18],0.12891300766546834
[19],0.12357294430231482
[20],0.11878228883970779
[21],0.11446157384074385
[22],0.11054803981498222
[23],0.10698750859298765
[24],0.10373787156198624
[25],0.10076126019844059
[26],0.09802718829440818
[27],0.09550792928591607
[28],0.09318191429077546
[29],0.09102690092882272
[30],0.089029641726955
[31],0.08717302183888904
[32],0.0854424046547415
[33],0.08383083152469921
[34],0.08232431388837232
[35],0.08091520790158847
[36],0.07959593194808912
[37],0.07835805703453518
[38],0.07719739495571024
[39],0.07610577040075714
[40],0.07508123419389295
[41],0.07411561116367248
[42],0.07320788667213166
[43],0.07235136542012324
[44],0.07154457457856278
[45],0.07078408304511843
[46],0.07006639362888441
[47],0.06938919524929832
[48],0.06874986213332335
[49],0.06814710526220392
[50],0.06757757637281889
[51],0.06704058004925756
[52],0.06653388915354
[53],0.06605504058715639
[54],0.0656042706700737
[55],0.06517942977008052
[56],0.06477848733901549
[57],0.06440101131046173
[58],0.06404555510122635
[59],0.06371087970171392
[60],0.06339680936334967
[61],0.06310171225354058
[62],0.0628248823482669
[63],0.06256571272897567
[64],0.062324204181753794
[65],0.06209810247796989
[66],0.061887345488425116
[67],0.06169229554841659
[68],0.06151100189162939
[69],0.0613430113793433
[70],0.061189638051236575
[71],0.06104792101854402
[72],0.0609194925026137
[73],0.060802467315481695
[74],0.060697711575485154
[75],0.060603340067031046
[76],0.060519459826541076
[77],0.060447111080839194
[78],0.06038447665824769
[79],0.060331027903764045
[80],0.06028712708870027
[81],0.06025331977866618
[82],0.06022827528166777
[83],0.06021209795802652
[84],0.06020411277292323
[85],0.06020455533192373
[86],0.06021279406144816
[87],0.06022974733488488
[88],0.06025445141509447
[89],0.06028635694000174
[90],0.06032508864515395
[91],0.060371316802559985
[92],0.06042452080953122
[93],0.06048398815546898
[94],0.060551351542497245
[95],0.060624303009966324
[96],0.06070396690711103
[97],0.060789216673801286
[98],0.06088117340425422
[99],0.06097935403716557
[100],0.06108275039010498
[101],0.06119201681605576
[102],0.06130687246975042
[103],0.0614278573736065
[104],0.061554011028632165
[105],0.06168560353009436
[106],0.061822021078094445
[107],0.06196408425355679
[108],0.06211092551676447
[109],0.062263096699943794
[110],0.06242031656463546
[111],0.06258239363261694
[112],0.06274989754510478
[113],0.06292173687400658
[114],0.06309846528126835
[115],0.06327991306352423
[116],0.06346643916909991
[117],0.06365718416519905
[118],0.06385324175245988
[119],0.0640529436010629
[120],0.06425709417596831
