"['n1', 'n2', 'n3', 'n4', 'l3', 'l4']",lifetime_i
"[0, 0, 0, 0, 0, 0]",inf
"[0, 0, 0, 1, 0, 1]",0.16482410811473305
"[0, 0, 0, 2, 0, 0]",0.0847668136592164
"[0, 0, 0, 2, 0, 2]",0.09363166044296675
"[0, 0, 0, 3, 0, 1]",0.058198523465165214
"[0, 0, 0, 3, 0, 3]",0.06682480352279799
"[0, 0, 0, 4, 0, 0]",0.03333667420933289
"[0, 0, 0, 4, 0, 2]",0.04549404182449458
"[0, 0, 0, 4, 0, 4]",0.05139723195535077
"[0, 0, 0, 5, 0, 1]",0.036868640667569716
"[0, 0, 0, 5, 0, 3]",0.03253760778542874
"[0, 0, 0, 5, 0, 5]",0.027841244451066168
"[0, 0, 0, 6, 0, 0]",0.023202367563930255
"[0, 0, 0, 6, 0, 2]",0.023809455716248235
"[0, 0, 0, 6, 0, 4]",0.025721137072770173
"[0, 0, 0, 6, 0, 6]",0.03089310819841926
"[0, 0, 0, 7, 0, 1]",0.021763042569300617
"[0, 0, 0, 7, 0, 3]",0.02128394018243531
"[0, 0, 0, 7, 0, 5]",0.022592390666460627
"[0, 0, 0, 7, 0, 7]",0.02104524895877508
"[0, 0, 0, 8, 0, 6]",0.05438627044080241
"[0, 0, 0, 9, 0, 9]",0.04447636577731887
"[0, 0, 0, 10, 0, 10]",0.12002587252276836
"[0, 0, 0, 11, 0, 3]",0.28640718588368164
"[0, 0, 0, 11, 0, 7]",0.3790124159910994
"[0, 0, 0, 11, 0, 9]",0.3070328051881299
"[0, 0, 0, 12, 0, 0]",0.968320977931001
"[0, 0, 0, 12, 0, 2]",1.103180264700418
"[0, 0, 0, 12, 0, 6]",0.9675973928911054
"[0, 0, 0, 12, 0, 12]",1.025647956312614
"[0, 0, 0, 13, 0, 1]",3.277942044638881
"[0, 0, 0, 13, 0, 3]",2.9389742811976776
"[0, 0, 0, 13, 0, 9]",3.414737182374607
"[0, 0, 0, 13, 0, 13]",3.019224666475327
"[0, 0, 0, 14, 0, 0]",5.355315893981441
"[0, 0, 0, 14, 0, 2]",5.476937471522466
"[0, 0, 0, 14, 0, 6]",5.508529233402484
"[0, 0, 1, 0, 1, 0]",0.14386928568697688
"[0, 0, 1, 1, 1, 1]",0.05871239210962647
"[0, 0, 1, 2, 1, 2]",0.038044908600555864
"[0, 0, 1, 3, 1, 1]",0.028876430193253373
"[0, 0, 1, 3, 1, 3]",0.025853795596284562
"[0, 0, 1, 4, 1, 2]",0.021921218450107402
"[0, 0, 1, 4, 1, 4]",0.020359323276696074
"[0, 0, 1, 5, 1, 1]",0.023217946858918242
"[0, 0, 1, 5, 1, 3]",0.021721617459725003
"[0, 0, 1, 5, 1, 5]",0.019600644202116106
"[0, 0, 1, 6, 1, 2]",0.031192226340221098
"[0, 0, 1, 6, 1, 4]",0.031031608886075077
"[0, 0, 1, 6, 1, 6]",0.042622576533168144
"[0, 0, 1, 7, 1, 1]",0.051808332028635294
