['v'],lifetime_i
[0],inf
[1],1.1028154879407126
[2],0.5799807353598943
[3],0.39674275609648996
[4],0.30338252466216353
[5],0.2468194075436193
[6],0.20889537649325055
[7],0.1817119199180103
[8],0.16128395464818954
[9],0.14537736018384176
[10],0.1326477001464572
[11],0.12223264460231197
[12],0.1135603426933121
[13],0.10622998806158464
[14],0.09995572489263436
[15],0.09452735636627287
[16],0.08978775695250167
[17],0.0856164000091799
[18],0.08191799381098645
[19],0.07861894002389468
[20],0.07565929877133484
[21],0.07299123565357446
[22],0.0705751913700431
[23],0.06837832557054416
[24],0.06637364175952959
[25],0.06453739110934276
[26],0.0628512893361299
[27],0.06129836947308167
[28],0.059864767719086526
[29],0.0585377807644469
[30],0.05730708586729223
[31],0.05616310110300363
[32],0.05509858497539202
[33],0.054105131099366495
[34],0.05317790165541843
[35],0.052310342674781116
[36],0.05149805236245644
[37],0.05073653265535309
[38],0.05002120113595307
[39],0.04934971405564141
[40],0.048717818391538645
[41],0.048123507117675324
[42],0.04756360397161134
[43],0.047035664938750374
[44],0.04653808950796221
[45],0.046068599470764846
[46],0.04562550856957898
[47],0.04520708082557525
[48],0.044812097229990404
[49],0.04443887457465831
[50],0.04408599901677642
[51],0.043753191084300244
[52],0.043438211593922776
[53],0.04314111995719296
[54],0.04286040594230555
[55],0.042595518746969326
[56],0.04234542680612032
[57],0.04210946896300325
[58],0.041887132432506705
[59],0.04167779046894282
[60],0.04148068559310333
[61],0.04129558590821497
[62],0.041121805823638884
[63],0.04095853825333739
[64],0.04080598346296714
[65],0.04066330420990889
[66],0.040530561094833564
[67],0.04040696766436454
[68],0.040292234743526625
[69],0.04018628270977551
[70],0.04008902328867576
[71],0.03999968000255998
[72],0.039917960607359755
[73],0.03984440600079067
[74],0.039778016392838775
[75],0.03971911594462742
[76],0.039667343312208884
[77],0.03962222898969893
[78],0.03958393014354676
[79],0.0395523183828734
[80],0.03952737747194831
[81],0.03950866861673553
[82],0.03949607588712828
[83],0.03948995719051701
[84],0.039489684287477164
[85],0.039495509637022835
[86],0.03950727631187566
[87],0.039524899639362954
[88],0.0395484484708632
[89],0.03957762755869362
[90],0.03961251983794994
[91],0.039653056376296715
[92],0.03969942296491727
[93],0.039751660247966086
[94],0.039809093105467146
[95],0.03987246234703827
[96],0.03994140117151325
[97],0.04001575340179922
[98],0.04009602034568303
[99],0.04018233780519891
[100],0.040274092586433635
