['v'],lifetime_i
[0],inf
[1],0.014030729732833785
[2],0.00780104321971945
[3],0.005644603930948747
[4],0.004563933753228177
[5],0.003920139133231096
[6],0.0034924096727312506
[7],0.0031820281644148714
[8],0.0029368891834541454
[9],0.002726520468138336
[10],0.38254965178111294
[11],0.4374037721218828
[12],0.512193302884815
[13],0.062443178420207864
[14],0.0025058756585605605
[15],0.0018901626200541193
[16],0.0018106743372060148
[17],0.0018923569982260606
[18],0.0021694703630681126
[19],0.0028348218720011553
[20],0.004910812240060067
[21],5.0538989592100554e-08
[22],5.1485204369481786e-08
[23],5.689027860737376e-08
[24],5.880186809422522e-08
[25],6.291732356736366e-08
[26],6.726897382226418e-08
[27],7.177952090234569e-08
[28],8.127499873963128e-08
[29],9.219005767037733e-08
[30],1.134591662682543e-07
[31],1.5874398907334143e-07
[32],5.432459985051415e-07
