['v'],lifetime_i
[0],inf
[1],1.141591607018505
[2],0.591920486610729
[3],0.40287358658343814
[4],0.3072746742518555
[5],0.24961207979567931
[6],0.21103569900188693
[7],0.18345019962931294
[8],0.16274461764486672
[9],0.1466304407796965
[10],0.13373734705422793
[11],0.12320287620676547
[12],0.11442964381618405
[13],0.10701862913119252
[14],0.10067840178822948
[15],0.095194586072025
[16],0.09040689409126
[17],0.08619470174761264
[18],0.08246221228082713
[19],0.07913331316042171
[20],0.07614937565014838
[21],0.07346398416296183
[22],0.07103573694325264
[23],0.06883208258931195
[24],0.06682733325313475
[25],0.0650003359087359
[26],0.06333273294071393
[27],0.0618096781536941
[28],0.06041897966354066
[29],0.059150906264618885
[30],0.05799748922025462
[31],0.05695347560848801
[32],0.056014355448637344
[33],0.05517756958520548
[34],0.054442201939900875
[35],0.05380895137196281
[36],0.05328016086942908
[37],0.052860039481586366
[38],0.052553924162627316
[39],0.05236893029500042
[40],0.052314974503852495
[41],0.05240351636188965
[42],0.052648112948692295
[43],0.05306533246128596
[44],0.05367242915692884
[45],0.05449037349630953
[46],0.05554358868937244
[47],0.05685801667388631
[48],0.05846875339776544
[49],0.060412757722108225
[50],0.0627384201125723
[51],0.06550172417895996
[52],0.06877028504203457
[53],0.07263014746832405
[54],0.07718617591915226
[55],0.08258349849682052
[56],0.08903291407051511
[57],0.09686983438580954
[58],0.1066275611365729
[59],0.11917083090465166
[60],0.13599311958586657
[61],0.16001585790435133
[62],0.1979873000321761
[63],0.26843279612561455
[64],0.4358784152184451
[65],1.1029854807899262
