['v'],lifetime_i
[0],inf
[1],0.14876403123747128
[2],0.0761505993851753
[3],0.05185699456762201
[4],0.03970185152175118
[5],0.03240985345690948
[6],0.027556377527415472
[7],0.024093527122048007
[8],0.021502985902553843
[9],0.019493280924404936
[10],0.017890004715133113
[11],0.01658302899882269
[12],0.015498000627937264
[13],0.014583838999694457
[14],0.013803719132788269
[15],0.013131396749660105
[16],0.012546280745506587
[17],0.012033339570614346
[18],0.011580093511223718
[19],0.011177571910450606
[20],0.010818093516280264
[21],0.010495529639060834
[22],0.010205258288520199
[23],0.009942735609674928
[24],0.009704847821872097
[25],0.00948846805276928
[26],0.009291554293060453
[27],0.009111810092237212
[28],0.008947512113387955
[29],0.00879719529227243
[30],0.008659580728040742
[31],0.008533598616744626
[32],0.008418328212450251
[33],0.008312686559546284
[34],0.008216263154617312
[35],0.008128228461222799
[36],0.00804815423147966
[37],0.007975457539238295
[38],0.007909697326889313
[39],0.007850477975173947
[40],0.007797711822287903
[41],0.007750869205725338
[42],0.007709614174902789
[43],0.007673699207842496
[44],0.007643205155458053
[45],0.007617648757559202
[46],0.0075972710906133355
[47],0.007581703009408408
[48],0.007570953117735907
[49],0.007564957738930965
[50],0.007563906138187739
[51],0.0075677482608519885
[52],0.0075766426079725184
[53],0.007590826458897446
[54],0.0076106314493727635
[55],0.007636308702147252
[56],0.007668434910623547
[57],0.0077072604296941054
[58],0.007753598456674138
[59],0.007808140861359744
[60],0.007871615896882588
[61],0.007944853879399454
[62],0.008029056061936523
[63],0.00812547105387067
[64],0.008235619967217785
[65],0.008360867481471105
[66],0.008502996810225741
[67],0.008664545408616274
[68],0.00884935090935837
[69],0.009060617913157286
[70],0.009299787180694226
[71],0.009565950377677018
[72],0.009859603398498415
[73],0.010191414338993237
[74],0.01055634652852581
[75],0.010899103850177538
[76],0.01116842935195021
[77],0.011377598551777338
[78],0.011573291269511817
[79],0.011865784624515867
[80],0.012372199662409687
[81],0.013110491684080678
[82],0.014282799513201628
[83],0.01586822005613102
[84],0.017955721757546696
[85],0.021070941765999298
[86],0.024269491685850006
[87],0.026257125334397745
[88],0.028288048159202585
[89],0.030915211360426072
[90],0.03557367984266072
[91],0.046962555021024206
[92],0.08286175158917634
[93],0.226213410850331
[94],0.9210752413025793
