['v'],lifetime_i
[0],inf
[1],0.14876403123747128
[2],0.0761505993851753
[3],0.051856994567622
[4],0.03970185152175118
[5],0.03240985345690947
[6],0.027556377527415472
[7],0.02409352712204801
[8],0.021502985902553846
[9],0.019493280924404936
[10],0.017890004715133113
[11],0.016583028998822687
[12],0.015498000627937268
[13],0.014583838999694468
[14],0.013803719132788267
[15],0.013131396749660108
[16],0.012546280745506583
[17],0.012033339570614343
[18],0.01158009351122372
[19],0.011177571910450603
[20],0.010818093516280262
[21],0.010495529639060834
[22],0.0102052582885202
[23],0.009942735609674928
[24],0.009704847821872099
[25],0.00948846805276928
[26],0.009291554293060455
[27],0.009111810092237212
[28],0.008947512113387956
[29],0.00879719529227243
[30],0.00865958072804074
[31],0.008533598616744626
[32],0.008418328212450251
[33],0.008312686559546284
[34],0.008216263154617312
[35],0.008128228461222799
[36],0.00804815423147966
[37],0.007975457539238293
[38],0.007909697326889311
[39],0.007850477975173945
[40],0.0077977118222879015
[41],0.007750869205725338
[42],0.007709614174902789
[43],0.007673699207842496
[44],0.0076432051554580546
[45],0.007617648757559202
[46],0.0075972710906133355
[47],0.007581703009408408
[48],0.007570953117735905
[49],0.007564957738930963
[50],0.00756390613818774
[51],0.007567748260851987
[52],0.0075766426079725184
[53],0.007590826458897448
[54],0.0076106314493727635
[55],0.007636308702147252
[56],0.007668434910623549
[57],0.007707260429694104
[58],0.00775359845667414
[59],0.007808140861359744
[60],0.007871615896882588
[61],0.007944853879399453
[62],0.008029056061936523
[63],0.00812547105387067
[64],0.008235619967217785
[65],0.008360867481471105
[66],0.008502996810225741
[67],0.008664545408616275
[68],0.00884935090935837
[69],0.009060617913157286
[70],0.009299787180694226
[71],0.009565950377677018
[72],0.009859603398498415
[73],0.010191414338993239
[74],0.01055634652852581
[75],0.010899103850177536
[76],0.01116842935195021
[77],0.011377598551777338
[78],0.011573291269511817
[79],0.011865784624515867
[80],0.012372199662409685
[81],0.013110491684080678
[82],0.01428279951320163
[83],0.01586822005613102
[84],0.017955721757546696
[85],0.021070941765999298
[86],0.024269491685850006
[87],0.026257125334397752
[88],0.028288048159202578
[89],0.030915211360426072
[90],0.035573679842660716
[91],0.046962555021024206
[92],0.08286175158917634
[93],0.226213410850331
[94],0.9210752413025793
