['v'],lifetime_i
[0],inf
[1],0.37495442428972753
[2],0.19038637162566813
[3],0.12882773464381167
[4],0.09805360615454266
[5],0.07959929400676859
[6],0.06730701786685309
[7],0.05853584177442207
[8],0.05196585689408419
[9],0.046863895343916356
[10],0.04278912983702868
[11],0.03946355618729891
[12],0.0366971339040518
[13],0.0343624120351122
[14],0.03236533885863804
[15],0.030640390675552492
[16],0.029135997270891
[17],0.027812832319636265
[18],0.026641169907570362
[19],0.02559731290526136
[20],0.024661772042106
[21],0.023818951149629102
[22],0.02305686441435589
[23],0.02236372242545737
[24],0.021731802726015863
[25],0.021153474153731252
[26],0.020621805175339708
[27],0.02013172926473941
[28],0.019679082341405252
[29],0.019259492111369424
[30],0.018869576755563198
[31],0.01850543253897586
[32],0.01816314950232934
[33],0.017839779431678752
[34],0.017532958117159193
[35],228.72827081427263
[36],230.69647265093315
[37],232.98618391929352
[38],235.68230025925052
[39],238.99431193537595
[40],243.33268444617477
[41],247.64735017335315
[42],182.89894833104708
