"['State', 'v', 'Lambda', 'Sigma', 'Omega']",lifetime_i
"['A4Pi', 0, -1.0, -1.5, -2.5]",1.903049777311319e-05
"['A4Pi', 0, -1.0, -0.5, -1.5]",1.9302424971301008e-05
"['A4Pi', 0, -1.0, 0.5, -0.5]",1.9573555511203813e-05
"['A4Pi', 0, -1.0, 1.5, 0.5]",1.960099876364399e-05
"['A4Pi', 0, 1.0, -1.5, -0.5]",1.9782613971187572e-05
"['A4Pi', 0, 1.0, 0.5, 1.5]",1.9350913034311428e-05
"['A4Pi', 0, 1.0, 1.5, 2.5]",1.9031494229482407e-05
"['A4Pi', 1, -1.0, -1.5, -2.5]",1.9663714397514447e-05
"['A4Pi', 1, -1.0, -0.5, -1.5]",2.0141745295261523e-05
"['A4Pi', 1, -1.0, 0.5, -0.5]",2.239563214629503e-05
"['A4Pi', 1, -1.0, 1.5, 0.5]",2.1531613269462053e-05
"['A4Pi', 1, 1.0, -1.5, -0.5]",2.515417626958244e-05
"['A4Pi', 1, 1.0, -0.5, 0.5]",1.9307835080368377e-05
"['A4Pi', 1, 1.0, 0.5, 1.5]",1.9608451402437462e-05
"['A4Pi', 1, 1.0, 1.5, 2.5]",1.9079726968674096e-05
"['A4Pi', 2, -1.0, -1.5, -2.5]",1.8644085112128086e-05
"['A4Pi', 2, -1.0, -0.5, -1.5]",1.9051976709310043e-05
"['A4Pi', 2, -1.0, 0.5, -0.5]",1.9801010195208903e-05
"['A4Pi', 2, -1.0, 1.5, 0.5]",1.943866015944552e-05
"['A4Pi', 2, 1.0, -1.5, -0.5]",2.028428618202756e-05
"['A4Pi', 2, 1.0, -0.5, 0.5]",1.9061907138465405e-05
"['A4Pi', 2, 1.0, 0.5, 1.5]",1.889479763614402e-05
"['A4Pi', 2, 1.0, 1.5, 2.5]",1.8636698087847673e-05
"['A4Pi', 3, -1.0, -1.5, -2.5]",1.8672779561983617e-05
"['A4Pi', 3, -1.0, -0.5, -1.5]",1.887678465472852e-05
"['A4Pi', 3, -1.0, 0.5, -0.5]",1.910243449220846e-05
"['A4Pi', 3, -1.0, 1.5, 0.5]",2.062541864016218e-05
"['A4Pi', 3, 1.0, -1.5, -0.5]",2.07549172605996e-05
"['A4Pi', 3, 1.0, -0.5, 0.5]",1.8993480746703808e-05
"['A4Pi', 3, 1.0, 0.5, 1.5]",1.8853839562319403e-05
"['A4Pi', 3, 1.0, 1.5, 2.5]",1.8671386739933648e-05
"['A4Pi', 4, -1.0, -1.5, -2.5]",2.8332010704241752e-05
"['A4Pi', 4, -1.0, -0.5, -1.5]",1.9101238782803465e-05
"['A4Pi', 4, -1.0, 1.5, 0.5]",1.890564213066347e-05
"['A4Pi', 4, 1.0, -1.5, -0.5]",1.890280155810103e-05
"['A4Pi', 4, 1.0, 0.5, 1.5]",1.911383836294374e-05
"['A4Pi', 4, 1.0, 1.5, 2.5]",2.8316397412917507e-05
"['A4Pi', 5, -1.0, -1.5, -2.5]",1.8351348378468913e-05
"['A4Pi', 5, -1.0, -0.5, -1.5]",1.8574427289022346e-05
"['A4Pi', 5, -1.0, 1.5, 0.5]",1.8927432541696915e-05
"['A4Pi', 5, 1.0, -1.5, -0.5]",1.8956789639143535e-05
"['A4Pi', 5, 1.0, 0.5, 1.5]",1.8546650966413567e-05
"['A4Pi', 5, 1.0, 1.5, 2.5]",1.8350625211681745e-05
"['A4Pi', 6, -1.0, -1.5, -2.5]",1.8205042057355285e-05
"['A4Pi', 6, -1.0, -0.5, -1.5]",1.9222490388023774e-05
"['A4Pi', 6, -1.0, 1.5, 0.5]",1.955578081338883e-05
"['A4Pi', 6, 1.0, -1.5, -0.5]",1.976325191600012e-05
"['A4Pi', 6, 1.0, 0.5, 1.5]",1.851706874004618e-05
"['A4Pi', 6, 1.0, 1.5, 2.5]",1.8198638622113895e-05
"['A4Pi', 7, -1.0, -1.5, -2.5]",1.835477032815402e-05
"['A4Pi', 7, -1.0, -0.5, -1.5]",2.1464475232918413e-05
"['A4Pi', 7, -1.0, 0.5, -0.5]",2.0480899064771295e-05
"['A4Pi', 7, -1.0, 1.5, 0.5]",2.0448497831445394e-05
"['A4Pi', 7, 1.0, -1.5, -0.5]",2.224398444785079e-05
"['A4Pi', 7, 1.0, -0.5, 0.5]",1.958301776162111e-05
"['A4Pi', 7, 1.0, 0.5, 1.5]",1.926632177608523e-05
"['A4Pi', 7, 1.0, 1.5, 2.5]",1.8190088305887796e-05
"['A4Pi', 8, -1.0, -1.5, -2.5]",1.8118590761793344e-05
"['A4Pi', 8, -1.0, -0.5, -1.5]",1.8341286946977883e-05
"['A4Pi', 8, -1.0, 1.5, 0.5]",2.0628336590272347e-05
"['A4Pi', 8, 1.0, -0.5, 0.5]",1.133790831144258e-05
"['A4Pi', 8, 1.0, 0.5, 1.5]",1.9770287788203494e-05
"['A4Pi', 8, 1.0, 1.5, 2.5]",1.8127039814519917e-05
"['A4Pi', 9, -1.0, -1.5, -2.5]",1.7350582455391633e-06
"['A4Pi', 9, -1.0, -0.5, -1.5]",1.847611630931334e-05
"['A4Pi', 9, -1.0, 0.5, -0.5]",1.979446448495957e-05
"['A4Pi', 9, -1.0, 1.5, 0.5]",2.8103199110349643e-05
"['A4Pi', 9, 1.0, -1.5, -0.5]",1.9927184860755922e-05
"['A4Pi', 9, 1.0, -0.5, 0.5]",2.3809846524420777e-05
"['A4Pi', 9, 1.0, 0.5, 1.5]",2.5001993274042334e-05
"['A4Pi', 9, 1.0, 1.5, 2.5]",3.4836230275970784e-06
"['A4Pi', 10, -1.0, -1.5, -2.5]",1.8771168288681527e-05
"['A4Pi', 10, -1.0, -0.5, -1.5]",1.8417188147472686e-05
"['A4Pi', 10, -1.0, 0.5, -0.5]",1.0017438116650375e-05
"['A4Pi', 10, -1.0, 1.5, 0.5]",1.9725104425967614e-05
"['A4Pi', 10, 1.0, -1.5, -0.5]",1.8798414812219972e-05
"['A4Pi', 10, 1.0, -0.5, 0.5]",1.9953004932414666e-05
"['A4Pi', 10, 1.0, 0.5, 1.5]",1.8924558709109265e-05
"['A4Pi', 10, 1.0, 1.5, 2.5]",1.8433219909419777e-05
"['A4Pi', 11, -1.0, -1.5, -2.5]",1.8169132206327325e-05
"['A4Pi', 11, -1.0, -0.5, -1.5]",1.840523337419002e-05
"['A4Pi', 11, -1.0, 0.5, -0.5]",1.8700855829707233e-05
"['A4Pi', 11, -1.0, 1.5, 0.5]",1.9593546811892034e-05
"['A4Pi', 11, 1.0, -1.5, -0.5]",1.92060224730641e-05
"['A4Pi', 11, 1.0, -0.5, 0.5]",1.909690495753768e-05
"['A4Pi', 11, 1.0, 0.5, 1.5]",1.8519098945508616e-05
"['A4Pi', 11, 1.0, 1.5, 2.5]",1.8176829150121223e-05
"['A4Pi', 12, -1.0, -1.5, -2.5]",2.0268238747417682e-05
"['A4Pi', 12, -1.0, -0.5, -1.5]",1.776928499597506e-05
"['A4Pi', 12, -1.0, 0.5, -0.5]",1.9177563551450476e-05
"['A4Pi', 12, -1.0, 1.5, 0.5]",1.9464224958136248e-05
"['A4Pi', 12, 1.0, -1.5, -0.5]",2.011193778760876e-05
"['A4Pi', 12, 1.0, -0.5, 0.5]",1.8828443389195236e-05
"['A4Pi', 12, 1.0, 0.5, 1.5]",1.8359984838290846e-05
"['A4Pi', 12, 1.0, 1.5, 2.5]",2.030808620473498e-05
"['A4Pi', 13, -1.0, -1.5, -2.5]",1.8080962967380525e-05
"['A4Pi', 13, -1.0, -0.5, -1.5]",2.8010304324403945e-05
"['A4Pi', 13, -1.0, 0.5, -0.5]",2.3923807044949703e-05
"['A4Pi', 13, -1.0, 1.5, 0.5]",2.0189624382862703e-05
"['A4Pi', 13, 1.0, -1.5, -0.5]",2.6151402902905623e-05
"['A4Pi', 13, 1.0, -0.5, 0.5]",1.8821977688072267e-05
"['A4Pi', 13, 1.0, 0.5, 1.5]",1.8512508156453184e-05
"['A4Pi', 13, 1.0, 1.5, 2.5]",1.81204449118955e-05
"['A4Pi', 14, -1.0, -1.5, -2.5]",1.8222843555361125e-05
"['A4Pi', 14, -1.0, -0.5, -1.5]",1.8458283172644182e-05
"['A4Pi', 14, -1.0, 0.5, -0.5]",1.8541364598045312e-05
"['A4Pi', 14, -1.0, 1.5, 0.5]",1.8880470930257117e-05
"['A4Pi', 14, 1.0, -1.5, -0.5]",1.869248905904885e-05
"['A4Pi', 14, 1.0, -0.5, 0.5]",1.8745682861420656e-05
"['A4Pi', 14, 1.0, 0.5, 1.5]",1.8476121070269848e-05
"['A4Pi', 14, 1.0, 1.5, 2.5]",1.8222101055192584e-05
"['A4Pi', 15, -1.0, -1.5, -2.5]",1.830263406364893e-05
"['A4Pi', 15, -1.0, -0.5, -1.5]",1.8705821617747322e-05
"['A4Pi', 15, -1.0, 0.5, -0.5]",1.821830182266653e-05
"['A4Pi', 15, -1.0, 1.5, 0.5]",1.6361109943853295e-05
"['A4Pi', 15, 1.0, -1.5, -0.5]",1.8065296934312957e-05
"['A4Pi', 15, 1.0, -0.5, 0.5]",1.878448951547068e-05
"['A4Pi', 15, 1.0, 0.5, 1.5]",1.891925529848247e-05
"['A4Pi', 15, 1.0, 1.5, 2.5]",1.8303772090545975e-05
"['A4Pi', 16, -1.0, -1.5, -2.5]",1.839396046528963e-05
"['A4Pi', 16, -1.0, -0.5, -1.5]",1.821523170156378e-05
"['A4Pi', 16, -1.0, 0.5, -0.5]",1.6425342491537524e-05
"['A4Pi', 16, -1.0, 1.5, 0.5]",1.8523034955936053e-05
"['A4Pi', 16, 1.0, -1.5, -0.5]",1.5053756604901382e-05
"['A4Pi', 16, 1.0, -0.5, 0.5]",1.8819510533147798e-05
"['A4Pi', 16, 1.0, 0.5, 1.5]",1.8605581152873616e-05
"['A4Pi', 16, 1.0, 1.5, 2.5]",1.839536603182435e-05
"['A4Pi', 17, -1.0, -1.5, -2.5]",1.8440753940537466e-05
"['A4Pi', 17, -1.0, -0.5, -1.5]",1.7965986870302456e-05
"['A4Pi', 17, -1.0, 0.5, -0.5]",1.778778940997496e-05
"['A4Pi', 17, -1.0, 1.5, 0.5]",1.900683369851439e-05
"['A4Pi', 17, 1.0, -1.5, -0.5]",1.7327687485511884e-05
"['A4Pi', 17, 1.0, -0.5, 0.5]",1.8904948348027888e-05
"['A4Pi', 17, 1.0, 0.5, 1.5]",1.8505081200176147e-05
